浦东区,上海外高桥保税区,
,上海浦东康桥工业区,
,上海陆家嘴金融贸易区,网站建设中（信息来自世界工厂网站）
,上海金桥出口加工区,
,上海市张江高科技园区,
,上海孙桥现代农业园区,农业，无匹配公司
,上海恒鲁现代产业区,仅有三家企业，行业不对口，该园区行业为机械业，且对IT人才需求不大。
,上海市星火开发区,该园区内的行业覆盖面为制造加工业和化工业
,上海国际医学区,无
普陀,上海普陀长征工业区,无官网（信息来自世界工厂网站：http://company.ch.gongchang.com/search?wd=%E4%B8%8A%E6%B5%B7%E6%99%AE%E9%99%80%E9%95%BF%E5%BE%81%E5%B7%A5%E4%B8%9A%E5%8C%BA）
,上海武宁科技区,无官网（信息来自世界工厂网站）
闸北,上海闸北彭浦经济区,无
,延长都市型工业园区,无主页
,上海市市北工业新区,无匹配公司
徐汇,上海漕河泾新兴技术开发区,无官网（信息来自世界工厂网站）
静安,上海静安都市工业园区,无匹配公司
长宁,上海虹桥经济技术开发区,官网无信息（信息来自世界工厂网站）
杨浦,上海市五角场高新技术产业园区,
,上海理工大学国家大学科技园,
闵行,上海漕河泾开发区闵行高科技园,
,漕河泾开发区浦江高科技,行业覆盖面为电子行业钢铁加工业以及机械制造业
,上海紫竹科学园,信息来自世界工厂网站
,上海莘庄工业区,
,上海闵行出口加工区,行业覆盖面为汽车电路设计、制造，机械制造业
,上海闵行经济技术开发区,
,上海新闵经济区,无主页（信息来自世界工厂网站）
,上海江川经济城,行业覆盖面为食品加工业，药业，设备制造业
,上海紫江科技产业园,行业覆盖面主要为包装印刷行业
,上海樽轩城市工业园区,无主页
宝山,上海宝山工业园区,
,上海宝山民营科技馆,无主页
南汇,上海南汇工业园区,
,上海临港新城,
,上海洋山保税港区,
青浦,上海朱家角工业园区,
,上海中纺科技城,
,上海腾富民营经济城,
,上海宏城经济区,
,上海新城经济区,
,上海西郊经济技术开发区,
,上海市白鹤工业园区,
,上海淀山湖经济城,
,上海青浦工业园区,
,上海青浦出口加工区,
嘉定,上海国际汽车城零部件配套工业园区,
,上海徐行经济城,
,上海希望经济城,
,上海沪嘉经济发展去,
,上海南翔经济城,
,上海古猗园经济城,
奉贤,上海化学工业区奉贤分区,
,上海市工业综合开发区,
金山,上海纺织工业区,
,上海金山工业区,
,上海化学工业区,
,上海金山现代农业园区,
松江,上海市松江工业区,
,上海强民经济城,
,上海莘莘学子创业园,
,上海久富经济开发区,
,上海小昆山经济区,
,上海新发经济城,
崇明,上海崇明工业园区,
,上海富盛经济开发区,
,,
注：,,
,已完成 1,
,信息不匹配 2,
,无相关信息 0,
,未核实 0,
